Voter_ID;134;013;022;023;027;028;032;050;053;057;062;064;068;140;131;123;121;117;111;110;105;103;099;088;084;082;071
MIH;Ja;Ja;EherJa;EherJa;EherJa;Ja;EherJa;EherJa;EherJa;EherJa;Ja;EherNein;EherJa;EherNein;EherNein;EherNein;Ja;Ja;EherJa;EherNein;EherJa;Ja;EherJa;Nein;EherNein;Ja;Ja
VAA;EherNein;Ja;EherNein;EherJa;EherNein;EherJa;Ja;EherJa;Nein;EherNein;EherJa;Nein;EherJa;Ja;Ja;EherNein;EherNein;EherNein;EherJa;EherJa;EherJa;Ja;EherJa;Nein;EherNein;EherNein;Ja
SEW;EherNein;Ja;Nein;EherJa;Nein;EherJa;Nein;Nein;Ja;EherNein;Nein;Nein;Ja;Nein;EherJa;Nein;EherNein;EherJa;EherJa;EherNein;Ja;EherNein;Nein;EherNein;EherJa;Ja;EherJa
NAK;EherNein;Ja;EherNein;EherJa;EherJa;Ja;Ja;EherJa;Ja;EherJa;EherJa;EherNein;EherNein;EherNein;Nein;EherNein;EherJa;EherNein;Ja;EherNein;EherNein;EherJa;EherJa;Nein;Ja;EherNein;EherJa
AND;EherJa;EherJa;Nein;Ja;EherNein;Ja;EherNein;Ja;EherJa;Ja;EherJa;EherNein;EherJa;EherJa;Ja;EherNein;EherNein;EherJa;EherNein;Nein;EherNein;EherNein;Nein;Nein;Nein;Ja;EherNein
OLK;EherJa;EherJa;EherJa;EherJa;EherJa;EherJa;EherJa;EherNein;EherJa;EherJa;EherJa;EherJa;EherJa;EherJa;EherNein;EherNein;EherJa;EherJa;EherJa;EherJa;EherJa;EherJa;EherJa;EherJa;EherNein;EherJa;Ja
FAG;EherJa;EherJa;EherNein;EherNein;EherJa;Ja;EherJa;EherNein;Ja;EherJa;EherNein;EherJa;EherJa;EherJa;EherNein;EherNein;EherNein;EherJa;EherJa;EherNein;EherJa;EherNein;EherJa;EherJa;EherNein;Ja;Ja
