Voter_ID;007;008;012;017;018;019;030;031;033;040;045;056;067;076;081;089;090;092;094;095;104;112;116;124;126;129;136
MAP;EherJa;EherNein;Ja;Ja;Ja;EherJa;EherJa;Nein;EherNein;EherJa;Ja;Ja;Ja;Nein;Ja;EherNein;Ja;EherJa;EherJa;Ja;EherJa;Ja;EherJa;EherJa;Ja;EherJa;EherNein
PID;Ja;EherJa;EherNein;EherNein;Nein;Ja;EherJa;Ja;Ja;Ja;Nein;Ja;EherNein;Nein;Nein;EherNein;EherNein;Ja;EherNein;Nein;EherNein;EherJa;EherNein;EherNein;Ja;EherNein;Nein
JAM;EherNein;EherNein;EherJa;EherJa;Nein;EherJa;EherJa;EherJa;EherNein;EherNein;Nein;Ja;EherJa;EherNein;EherJa;EherJa;EherNein;EherJa;Ja;Ja;Ja;EherNein;EherJa;Nein;Ja;EherJa;EherJa
RIM;EherNein;EherJa;EherNein;EherNein;EherNein;Ja;EherJa;EherNein;EherJa;EherNein;Ja;Nein;EherJa;EherNein;EherJa;Ja;EherJa;EherNein;EherJa;Ja;EherJa;Nein;Nein;EherNein;Ja;EherJa;Nein
MAH;Nein;Nein;EherJa;Nein;EherJa;Nein;Nein;EherJa;EherJa;EherJa;Ausstand;EherJa;EherJa;EherJa;Nein;Nein;EherJa;EherNein;EherJa;EherJa;EherJa;EherJa;EherNein;Nein;EherNein;EherJa;EherJa
PEO;EherJa;Ja;EherJa;Nein;EherNein;Ja;EherNein;EherNein;EherJa;EherJa;EherJa;EherJa;EherJa;Nein;EherNein;EherJa;Nein;EherNein;Nein;Ja;EherJa;EherJa;EherNein;Nein;Nein;EherJa;EherJa
THB;EherJa;Nein;EherNein;EherNein;Nein;EherNein;Nein;EherNein;Nein;EherJa;Ja;EherNein;EherJa;Nein;Ja;Nein;Nein;Nein;EherJa;EherJa;Nein;EherNein;EherNein;Nein;;Ja;EherNein
