Voter_ID;097;096;074;070;069;098;054;051;048;046;042;038;035;029;024;004;001;106;108;109;114;115;118;142;135;119
ROM;EherJa;EherJa;EherJa;EherNein;EherJa;EherJa;EherJa;Ja;EherJa;EherNein;EherJa;Nein;EherNein;EherNein;EherJa;Ja;EherJa;EherNein;Ja;Ja;Ja;EherJa;EherNein;EherNein;Ja;EherJa
ANA;EherJa;EherNein;EherNein;Ja;EherJa;EherJa;Ja;Ja;Ja;EherNein;EherJa;EherJa;EherNein;EherJa;EherJa;Ja;Ja;EherJa;EherJa;Ja;EherJa;EherJa;EherNein;EherJa;Ja;Ausstand
MEM;EherJa;EherJa;EherNein;EherJa;EherNein;Ja;EherNein;EherJa;Nein;EherNein;Nein;EherJa;EherNein;EherNein;EherNein;EherNein;EherNein;Nein;EherJa;Ja;Nein;EherJa;EherNein;EherJa;Nein;Nein
CLS;EherJa;EherNein;EherJa;Ja;Nein;Ja;EherJa;Ja;EherNein;EherNein;EherNein;EherJa;EherJa;EherJa;EherJa;Ja;Ja;EherNein;EherJa;Ja;EherNein;Nein;EherNein;EherJa;Ja;Ja
MAJ;EherJa;EherJa;Ausstand;EherNein;Nein;EherNein;Ja;Ja;EherJa;Nein;EherNein;Nein;EherNein;EherJa;EherNein;EherJa;EherJa;Nein;EherNein;EherNein;EherNein;EherNein;EherJa;EherNein;EherNein;EherNein
ILN;Ja;Ja;Ja;Ja;Ja;EherJa;EherJa;Ja;EherNein;EherNein;EherNein;EherJa;EherNein;EherJa;EherJa;Ja;Ja;EherNein;Ja;Ja;Nein;EherJa;Ja;EherJa;Ja;EherNein
THM;EherNein;EherNein;Nein;EherNein;EherNein;EherJa;EherNein;EherJa;Nein;Nein;Nein;Nein;Nein;EherJa;EherNein;EherNein;Ja;EherNein;Ja;Ja;Nein;EherNein;Nein;Nein;EherNein;EherNein
FRN;Nein;Nein;Ja;Ausstand;Nein;Ausstand;EherJa;Ja;EherJa;Nein;Nein;Nein;Nein;EherNein;Nein;EherNein;Nein;Nein;Ja;Nein;Nein;Nein;EherNein;Nein;EherJa;EherNein
ADG;EherJa;EherJa;EherJa;EherJa;EherJa;Ja;Ja;Ja;EherJa;EherNein;EherJa;EherNein;EherNein;EherJa;EherNein;Ja;Ja;EherJa;EherJa;Ja;EherJa;EherNein;EherNein;EherJa;Ausstand;EherJa
